模型,训练集MSE,测试集MSE,训练集R²,测试集R²,训练集Pearson,测试集Pearson
Ridge,4.5106595091946076e-05,8.062109037558154e-05,0.006023729203880279,-0.0031965352884339993,0.07761268714533032,0.039609298361888506
LightGBM,4.2014766757613546e-05,7.894820584473869e-05,0.07415576159154225,0.017619754313467184,0.31534805031712837,0.14724640245727041
